country,province,district,facility,facility_id,month,metformin,sulfonylurea,insulin,statin
Alpha,Milky Way,Aquaris,Boron,B04MJGsq1cH,2022-08-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Boron,B04MJGsq1cH,2022-09-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Boron,B04MJGsq1cH,2022-10-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Boron,B04MJGsq1cH,2022-11-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aquaris,Boron,B04MJGsq1cH,2022-12-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Carbon,dnbts8JjGch,2022-01-01,Yes,Yes,Yes,No
Alpha,Milky Way,Lyra,Carbon,dnbts8JjGch,2022-02-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Carbon,dnbts8JjGch,2022-03-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Carbon,dnbts8JjGch,2022-04-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Carbon,dnbts8JjGch,2022-05-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Carbon,dnbts8JjGch,2022-06-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Carbon,dnbts8JjGch,2022-07-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Carbon,dnbts8JjGch,2022-08-01,No,No,No,Yes
Alpha,Milky Way,Lyra,Carbon,dnbts8JjGch,2022-09-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Carbon,dnbts8JjGch,2022-10-01,No,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Carbon,dnbts8JjGch,2022-11-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Carbon,dnbts8JjGch,2022-12-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Nitrogen,iBg68190zZI,2022-01-01,Yes,Yes,No,Yes
Alpha,Milky Way,Lyra,Nitrogen,iBg68190zZI,2022-02-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Nitrogen,iBg68190zZI,2022-03-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Nitrogen,iBg68190zZI,2022-04-01,Yes,Yes,Yes,No
Alpha,Milky Way,Lyra,Nitrogen,iBg68190zZI,2022-05-01,Yes,Yes,No,Yes
Alpha,Milky Way,Lyra,Nitrogen,iBg68190zZI,2022-06-01,No,Yes,No,Yes
Alpha,Milky Way,Lyra,Nitrogen,iBg68190zZI,2022-07-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Nitrogen,iBg68190zZI,2022-08-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Nitrogen,iBg68190zZI,2022-09-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Nitrogen,iBg68190zZI,2022-10-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Nitrogen,iBg68190zZI,2022-11-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Nitrogen,iBg68190zZI,2022-12-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Oxygen,XGGNHr2VsF2,2022-01-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Oxygen,XGGNHr2VsF2,2022-02-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Oxygen,XGGNHr2VsF2,2022-03-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Oxygen,XGGNHr2VsF2,2022-04-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Oxygen,XGGNHr2VsF2,2022-05-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Oxygen,XGGNHr2VsF2,2022-06-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Oxygen,XGGNHr2VsF2,2022-07-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Oxygen,XGGNHr2VsF2,2022-08-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Oxygen,XGGNHr2VsF2,2022-09-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Oxygen,XGGNHr2VsF2,2022-10-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Oxygen,XGGNHr2VsF2,2022-11-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Oxygen,XGGNHr2VsF2,2022-12-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Fluorine,Z0t9ILoSLrj,2022-01-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Fluorine,Z0t9ILoSLrj,2022-02-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Fluorine,Z0t9ILoSLrj,2022-03-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Fluorine,Z0t9ILoSLrj,2022-04-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Fluorine,Z0t9ILoSLrj,2022-05-01,Yes,Yes,No,Yes
Alpha,Milky Way,Lyra,Fluorine,Z0t9ILoSLrj,2022-06-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Fluorine,Z0t9ILoSLrj,2022-07-01,Yes,Yes,No,Yes
Alpha,Milky Way,Lyra,Fluorine,Z0t9ILoSLrj,2022-08-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Fluorine,Z0t9ILoSLrj,2022-09-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Fluorine,Z0t9ILoSLrj,2022-10-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Fluorine,Z0t9ILoSLrj,2022-11-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Fluorine,Z0t9ILoSLrj,2022-12-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Neon,gnq0kaeGiXP,2022-01-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Neon,gnq0kaeGiXP,2022-02-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Neon,gnq0kaeGiXP,2022-03-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Neon,gnq0kaeGiXP,2022-04-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Neon,gnq0kaeGiXP,2022-05-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Neon,gnq0kaeGiXP,2022-06-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Neon,gnq0kaeGiXP,2022-07-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Neon,gnq0kaeGiXP,2022-08-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Neon,gnq0kaeGiXP,2022-09-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Neon,gnq0kaeGiXP,2022-10-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Neon,gnq0kaeGiXP,2022-11-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Lyra,Neon,gnq0kaeGiXP,2022-12-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Sodium,sttg2Jd80Xp,2022-01-01,Yes,Yes,Yes,No
Alpha,Milky Way,Pegasus,Sodium,sttg2Jd80Xp,2022-02-01,Yes,Yes,Yes,No
Alpha,Milky Way,Pegasus,Sodium,sttg2Jd80Xp,2022-03-01,No,No,No,Yes
Alpha,Milky Way,Pegasus,Sodium,sttg2Jd80Xp,2022-04-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Sodium,sttg2Jd80Xp,2022-05-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Sodium,sttg2Jd80Xp,2022-06-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Sodium,sttg2Jd80Xp,2022-07-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Sodium,sttg2Jd80Xp,2022-08-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Sodium,sttg2Jd80Xp,2022-09-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Sodium,sttg2Jd80Xp,2022-10-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Sodium,sttg2Jd80Xp,2022-11-01,Yes,No,Yes,Yes
Alpha,Milky Way,Pegasus,Sodium,sttg2Jd80Xp,2022-12-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Magnesium,I3hO0NXrDaf,2022-01-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Magnesium,I3hO0NXrDaf,2022-02-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Magnesium,I3hO0NXrDaf,2022-03-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Magnesium,I3hO0NXrDaf,2022-04-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Magnesium,I3hO0NXrDaf,2022-05-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Magnesium,I3hO0NXrDaf,2022-06-01,Yes,Yes,Yes,No
Alpha,Milky Way,Pegasus,Magnesium,I3hO0NXrDaf,2022-07-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Magnesium,I3hO0NXrDaf,2022-08-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Magnesium,I3hO0NXrDaf,2022-09-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Magnesium,I3hO0NXrDaf,2022-10-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Magnesium,I3hO0NXrDaf,2022-11-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Magnesium,I3hO0NXrDaf,2022-12-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Aluminium,klg4tHLM4xj,2022-01-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Aluminium,klg4tHLM4xj,2022-02-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Aluminium,klg4tHLM4xj,2022-03-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Aluminium,klg4tHLM4xj,2022-04-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Aluminium,klg4tHLM4xj,2022-05-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Aluminium,klg4tHLM4xj,2022-06-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Aluminium,klg4tHLM4xj,2022-07-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Aluminium,klg4tHLM4xj,2022-08-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Aluminium,klg4tHLM4xj,2022-09-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Aluminium,klg4tHLM4xj,2022-10-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Aluminium,klg4tHLM4xj,2022-11-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Aluminium,klg4tHLM4xj,2022-12-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Silicon,iwHKECmgj8j,2022-01-01,No,Yes,No,Yes
Alpha,Milky Way,Pegasus,Silicon,iwHKECmgj8j,2022-02-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Silicon,iwHKECmgj8j,2022-03-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Silicon,iwHKECmgj8j,2022-04-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Silicon,iwHKECmgj8j,2022-05-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Silicon,iwHKECmgj8j,2022-06-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Silicon,iwHKECmgj8j,2022-07-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Silicon,iwHKECmgj8j,2022-08-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Silicon,iwHKECmgj8j,2022-09-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Silicon,iwHKECmgj8j,2022-10-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Silicon,iwHKECmgj8j,2022-11-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Silicon,iwHKECmgj8j,2022-12-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Phosphorus,qHiOAIahrS0,2022-01-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Phosphorus,qHiOAIahrS0,2022-02-01,Yes,Yes,Yes,No
Alpha,Milky Way,Pegasus,Phosphorus,qHiOAIahrS0,2022-03-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Phosphorus,qHiOAIahrS0,2022-04-01,Yes,No,No,Yes
Alpha,Milky Way,Pegasus,Phosphorus,qHiOAIahrS0,2022-05-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Phosphorus,qHiOAIahrS0,2022-06-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Phosphorus,qHiOAIahrS0,2022-07-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Phosphorus,qHiOAIahrS0,2022-08-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Phosphorus,qHiOAIahrS0,2022-09-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Phosphorus,qHiOAIahrS0,2022-10-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Phosphorus,qHiOAIahrS0,2022-11-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Pegasus,Phosphorus,qHiOAIahrS0,2022-12-01,No,Yes,No,Yes
Alpha,Milky Way,Virgo,Sulfur,g4bbTDKgJKD,2022-01-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Sulfur,g4bbTDKgJKD,2022-02-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Sulfur,g4bbTDKgJKD,2022-03-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Sulfur,g4bbTDKgJKD,2022-04-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Sulfur,g4bbTDKgJKD,2022-05-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Sulfur,g4bbTDKgJKD,2022-06-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Sulfur,g4bbTDKgJKD,2022-07-01,No,Yes,No,Yes
Alpha,Milky Way,Virgo,Sulfur,g4bbTDKgJKD,2022-08-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Sulfur,g4bbTDKgJKD,2022-09-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Sulfur,g4bbTDKgJKD,2022-10-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Sulfur,g4bbTDKgJKD,2022-11-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Sulfur,g4bbTDKgJKD,2022-12-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Chlorine,hFCSR9RIsac,2022-01-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Chlorine,hFCSR9RIsac,2022-02-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Chlorine,hFCSR9RIsac,2022-03-01,No,Yes,Yes,No
Alpha,Milky Way,Virgo,Chlorine,hFCSR9RIsac,2022-04-01,Yes,Yes,Yes,No
Alpha,Milky Way,Virgo,Chlorine,hFCSR9RIsac,2022-05-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Chlorine,hFCSR9RIsac,2022-06-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Chlorine,hFCSR9RIsac,2022-07-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Chlorine,hFCSR9RIsac,2022-08-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Chlorine,hFCSR9RIsac,2022-09-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Chlorine,hFCSR9RIsac,2022-10-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Chlorine,hFCSR9RIsac,2022-11-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Chlorine,hFCSR9RIsac,2022-12-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Argon,ARCpAQGZjqS,2022-01-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Argon,ARCpAQGZjqS,2022-02-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Argon,ARCpAQGZjqS,2022-03-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Argon,ARCpAQGZjqS,2022-04-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Argon,ARCpAQGZjqS,2022-05-01,Yes,Yes,Yes,No
Alpha,Milky Way,Virgo,Argon,ARCpAQGZjqS,2022-06-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Argon,ARCpAQGZjqS,2022-07-01,Yes,Yes,Yes,No
Alpha,Milky Way,Virgo,Argon,ARCpAQGZjqS,2022-08-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Argon,ARCpAQGZjqS,2022-09-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Argon,ARCpAQGZjqS,2022-10-01,Yes,Yes,Yes,No
Alpha,Milky Way,Virgo,Argon,ARCpAQGZjqS,2022-11-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Argon,ARCpAQGZjqS,2022-12-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Potassium,DCzOXi28AFq,2022-01-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Potassium,DCzOXi28AFq,2022-02-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Potassium,DCzOXi28AFq,2022-03-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Potassium,DCzOXi28AFq,2022-04-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Potassium,DCzOXi28AFq,2022-05-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Potassium,DCzOXi28AFq,2022-06-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Potassium,DCzOXi28AFq,2022-07-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Potassium,DCzOXi28AFq,2022-08-01,Yes,Yes,No,Yes
Alpha,Milky Way,Virgo,Potassium,DCzOXi28AFq,2022-09-01,Yes,Yes,Yes,No
Alpha,Milky Way,Virgo,Potassium,DCzOXi28AFq,2022-10-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Potassium,DCzOXi28AFq,2022-11-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Potassium,DCzOXi28AFq,2022-12-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Calcium,FMoEGm2vBBX,2022-01-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Calcium,FMoEGm2vBBX,2022-02-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Calcium,FMoEGm2vBBX,2022-03-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Calcium,FMoEGm2vBBX,2022-04-01,Yes,Yes,Yes,No
Alpha,Milky Way,Virgo,Calcium,FMoEGm2vBBX,2022-05-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Calcium,FMoEGm2vBBX,2022-06-01,Yes,Yes,Yes,No
Alpha,Milky Way,Virgo,Calcium,FMoEGm2vBBX,2022-07-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Calcium,FMoEGm2vBBX,2022-08-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Calcium,FMoEGm2vBBX,2022-09-01,Yes,Yes,No,Yes
Alpha,Milky Way,Virgo,Calcium,FMoEGm2vBBX,2022-10-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Calcium,FMoEGm2vBBX,2022-11-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Virgo,Calcium,FMoEGm2vBBX,2022-12-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Scandium,uwAO3vojQt7,2022-01-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Scandium,uwAO3vojQt7,2022-02-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Scandium,uwAO3vojQt7,2022-03-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Scandium,uwAO3vojQt7,2022-04-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Scandium,uwAO3vojQt7,2022-05-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Scandium,uwAO3vojQt7,2022-06-01,No,No,Yes,Yes
Alpha,Milky Way,Aries,Scandium,uwAO3vojQt7,2022-07-01,Yes,Yes,Yes,Yes
Alpha,Milky Way,Aries,Scandium,uwAO3vojQt7,2022-08-01,No,No,Yes,Yes
Alpha,Milky Way,Aries,Scandium,uwAO3vojQt7,2022-09-01,Yes,Yes,Yes,Yes
